"_id","_class","dailyGPSData__latitude","dailyGPSData__longitude","dailyGPSData__duration"
"","","18.51151768765113","73.92370068574292","101"
"","","18.51151727445101","73.92371179253385","101"
"","","18.51151698833632","73.92371948327701","101"
"","","18.51151634475077","73.92373678281336","101"
"","","18.51151634475077","73.92373678281336","101"
"","","18.51151634475077","73.92373678281336","101"
"","","18.51151366254176","73.9236781933102","101"
"","","18.5115277860486","73.92364826991587","101"
"","","18.51153243800486","73.92364248640268","101"
"","","18.5115391435274","73.92364131293624","101"
"","","18.51154371166463","73.9236454200688","101"
"","","18.5115497047254","73.92365489161938","101"
"","","18.51154953708733","73.92366310588449","101"
"","","18.51154777688767","73.92367366708248","101"
"","","18.51154589095945","73.92367090105444","101"
"","","18.51154874080653","73.92366142950385","101"
"","","18.51155062673475","73.92365380197197","101"
"","","18.5115547338673","73.92363997183173","101"
"","","18.51160936311223","73.92357995831517","101"
